,dteday,hr,weathersit,hum,windspeed,temp,atemp,cnt,year,month,day,day_name,day_of_week,weathersit_clear,weathersit_cloudy,weathersit_snowy,weathersit_rainy,month_2,month_1,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_0,day_1,day_2,day_3,day_4,day_5,day_6
0,2021-02-01,0,clear,0.81,0.0,3.2799999999999994,3.0014000000000003,16,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2021-02-01,1,clear,0.8,0.0,2.34,1.9982000000000006,40,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2021-02-01,2,clear,0.8,0.0,2.34,1.9982000000000006,32,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2021-02-01,3,clear,0.75,0.0,3.2799999999999994,3.0014000000000003,13,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2021-02-01,4,clear,0.75,0.0,3.2799999999999994,3.0014000000000003,1,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2021-02-01,5,cloudy,0.75,6.0032,3.2799999999999994,1.0015999999999998,1,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2021-02-01,6,clear,0.8,0.0,2.34,1.9982000000000006,2,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2021-02-01,7,clear,0.86,0.0,1.4000000000000004,1.0015999999999998,3,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2021-02-01,8,clear,0.75,0.0,3.2799999999999994,3.0014000000000003,8,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2021-02-01,9,clear,0.76,0.0,7.040000000000001,7.000999999999998,14,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2021-02-01,10,clear,0.76,16.997899999999998,9.86,9.997399999999999,36,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2021-02-01,11,clear,0.81,19.0012,8.919999999999998,5.997799999999998,56,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2021-02-01,12,clear,0.77,19.0012,11.739999999999998,11.997200000000003,84,2021,2,1,Monday,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2021-02-01,13,cloudy,0.72,19.999499999999998,13.620000000000001,13.997,94,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,2021-02-01,14,cloudy,0.72,19.0012,13.620000000000001,13.997,106,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,2021-02-01,15,cloudy,0.77,19.999499999999998,12.68,13.000399999999999,110,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,2021-02-01,16,cloudy,0.82,19.999499999999998,11.739999999999998,11.997200000000003,93,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,2021-02-01,17,cloudy,0.82,19.0012,12.68,13.000399999999999,67,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,2021-02-01,18,snowy,0.88,16.997899999999998,11.739999999999998,11.997200000000003,35,2021,2,1,Monday,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,2021-02-01,19,snowy,0.88,16.997899999999998,11.739999999999998,11.997200000000003,37,2021,2,1,Monday,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,2021-02-01,20,cloudy,0.87,16.997899999999998,10.8,11.000600000000002,36,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,2021-02-01,21,cloudy,0.87,12.998,10.8,11.000600000000002,34,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,2021-02-01,22,cloudy,0.94,15.001299999999999,10.8,11.000600000000002,28,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,2021-02-01,23,cloudy,0.88,19.999499999999998,13.620000000000001,13.997,39,2021,2,1,Monday,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
