dteday,hum,windspeed,temp,atemp,cnt,weathersit_clear,weathersit_cloudy,weathersit_rainy,weathersit_snowy,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_0,day_1,day_2,day_3,day_4,day_5,day_6,target
2011-01-01,0.8058333333333335,10.749870833333333,8.175833333333335,7.999249999999999,41.041666666666664,0.5,0.4166666666666667,0.0,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.82608695652174
2011-01-02,0.6960869565217392,16.65212173913043,9.08347826086956,7.346782608695652,34.82608695652174,0.2608695652173913,0.5217391304347826,0.0,0.21739130434782608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.31818181818182
2011-01-03,0.43727272727272726,16.636709090909097,1.2290909090909095,-3.4993,61.31818181818182,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.91304347826087
2011-01-04,0.5904347826086958,10.739808695652172,1.4000000000000004,-1.9999652173913038,67.91304347826087,0.9565217391304348,0.043478260869565216,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.56521739130434
2011-01-05,0.4369565217391305,12.5223,2.666956521739131,-0.8682086956521746,69.56521739130434,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.82608695652173
2011-01-06,0.5182608695652174,6.000869565217392,1.604347826086957,-0.6082260869565218,69.82608695652173,0.6521739130434783,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.65217391304348
2011-01-07,0.4986956521739131,11.304647826086953,1.2365217391304344,-2.216617391304348,65.65217391304348,0.34782608695652173,0.6086956521739131,0.0,0.043478260869565216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.958333333333336
2011-01-08,0.5358333333333333,17.875879166666667,-0.24500000000000002,-5.291225,39.958333333333336,0.4583333333333333,0.375,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.25
2011-01-09,0.4341666666666668,24.250649999999997,-1.498333333333333,-8.332450000000003,34.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.041666666666664
2011-01-10,0.4829166666666667,14.958866666666667,-0.9108333333333335,-6.041425,55.041666666666664,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.40909090909091
